cal BP,Posterior probability
-1400,1.8353001633417145E-5
-1390,0.0
-1380,0.0
-1370,0.0
-1360,0.0
-1350,0.0
-1340,0.0
-1330,1.8353001633417145E-5
-1320,0.0
-1310,0.0
-1300,0.0
-1290,0.0
-1280,0.0
-1270,3.670600326683429E-5
-1260,1.8353001633417145E-5
-1250,7.341200653366858E-5
-1240,5.505900490025144E-5
-1230,3.670600326683429E-5
-1220,2.018830179675886E-4
-1210,1.8353001633417146E-4
-1200,2.936480261346743E-4
-1190,3.670600326683429E-4
-1180,4.95531044102263E-4
-1170,4.037660359351772E-4
-1160,5.505900490025144E-4
-1150,8.258850735037716E-4
-1140,7.341200653366858E-4
-1130,0.0011745921045386973
-1120,0.0016150641437407088
-1110,0.002147301191109806
-1100,0.002275772202543726
-1090,0.0031934222842145833
-1080,0.0034687173087158403
-1070,0.004459779396920366
-1060,0.0048268394295887095
-1050,0.005322370473690972
-1040,0.005836254519426653
-1030,0.008056967717070127
-1020,0.009433442839576412
-1010,0.01086497696698295
-1000,0.01260851212215758
-990,0.014572283296933214
-980,0.01517793235083598
-970,0.016921467506010607
-960,0.01626075944720759
-950,0.017251821535412118
-940,0.019362416723255088
-930,0.01870170866445207
-920,0.016829702497843522
-910,0.01602217042597317
-900,0.014572283296933214
-890,0.014553930295299796
-880,0.016334171453741258
-870,0.01811441261218272
-860,0.02174830693559932
-850,0.023638666103841282
-840,0.02771303246645989
-830,0.027474443445225465
-820,0.028447152531796575
-810,0.031255161781709395
-800,0.032448106887881516
-790,0.025822673298217923
-780,0.02444619817571164
-770,0.02629985134068677
-760,0.025639143281883752
-750,0.027731385468093308
-740,0.02830032851872924
-730,0.023308312074439775
-720,0.02121606988823022
-710,0.022298896984601833
-700,0.02360196010057445
-690,0.020849009855561876
-680,0.01813276561381614
-670,0.014553930295299796
-660,0.011305449006184961
-650,0.009598619854277167
-640,0.008864499788940482
-630,0.007800025694202287
-620,0.006845669609264595
-610,0.007212729641932938
-600,0.008479086754638722
-590,0.009194853818341989
-580,0.010956741975150036
-570,0.010846623965349533
-560,0.008662616770972893
-550,0.006845669609264595
-540,0.005781195514526401
-530,0.004698368418154789
-520,0.004698368418154789
-510,0.004147778369152275
-500,0.003156716280947749
-490,0.003266834290748252
-480,0.0030465982711472463
-470,0.0028080092499128233
-460,0.002624479233578652
-450,0.0025694202286784
-440,0.00244094921724448
-430,0.0027162442417457376
-420,0.0024593022188778976
-410,0.0023308312074439776
-400,0.002239066199276892
-390,0.002257419200910309
-380,0.0027345972433791546
-370,0.002275772202543726
-360,0.002496008222144732
-350,0.002275772202543726
-340,0.003009892267880412
-330,0.002037183181309303
-320,0.0022941252041771432
-310,0.002128948189476389
-300,0.0017985941600748801
-290,0.0019087121698753832
-280,0.0015600051388404573
-270,0.0013581221208728688
-260,0.001009415089837943
-250,0.00102776809147136
-240,9.91062088204526E-4
-230,8.075320718703544E-4
-220,9.176500816708572E-4
-210,0.0012296511094389488
-200,0.0010461210931047773
-190,0.00102776809147136
-180,0.0014315341274065373
-170,0.0013214161176060345
-160,0.0015416521372070401
-150,0.0011929451061721144
-140,9.176500816708572E-4
-130,9.360030833042744E-4
-120,6.607080588030172E-4
-110,6.056490539027658E-4
-100,9.727090865711087E-4
-90,9.360030833042744E-4
-80,0.00102776809147136
-70,0.001119533099638446
-60,5.322370473690972E-4
-50,6.24002055536183E-4
-40,8.992970800374401E-4
-30,9.360030833042744E-4
-20,0.0010644740947381944
-10,0.0014682401306733716
0,8.258850735037716E-4
