cal BP,Posterior probability
-1550,7.466698524580372E-6
-1540,0.0
-1530,0.0
-1520,0.0
-1510,0.0
-1500,0.0
-1490,0.0
-1480,0.0
-1470,1.4933397049160744E-5
-1460,0.0
-1450,7.466698524580372E-6
-1440,7.466698524580372E-6
-1430,1.4933397049160744E-5
-1420,0.0
-1410,0.0
-1400,7.466698524580372E-6
-1390,0.0
-1380,0.0
-1370,2.2400095573741113E-5
-1360,1.4933397049160744E-5
-1350,1.4933397049160744E-5
-1340,5.22668896720626E-5
-1330,4.4800191147482226E-5
-1320,9.706708081954483E-5
-1310,3.733349262290186E-5
-1300,1.4933397049160743E-4
-1290,1.792007645899289E-4
-1280,2.762678454094737E-4
-1270,4.181351173765008E-4
-1260,6.122692790155905E-4
-1250,0.001105071381637895
-1240,0.00120213846245744
-1230,0.0017173406606534854
-1220,0.0027253449614718355
-1210,0.0033898811301594886
-1200,0.003277880652290783
-1190,0.0035018816080281943
-1180,0.004121617585568365
-1170,0.005846424944746431
-1160,0.008459769428349561
-1150,0.010535511618182905
-1140,0.012544053521295024
-1130,0.01570246699719252
-1120,0.01830834478227107
-1110,0.021369691177349024
-1100,0.023400633176034885
-1090,0.025431575174720746
-1080,0.027835852099635624
-1070,0.029605459649961172
-1060,0.034406546801266355
-1050,0.03813242936503196
-1040,0.042627381876829344
-1030,0.04506152559584254
-1020,0.046472731616988235
-1010,0.04944447762977122
-1000,0.05041514843796667
-990,0.05166955379009617
-980,0.05164715369452243
-970,0.04854847380682158
-960,0.045516994205841946
-950,0.03953616868765307
-940,0.03405561197061108
-930,0.029172391135535512
-920,0.023871035183083446
-910,0.019771817693088823
-900,0.01824114449554985
-890,0.017397407562272267
-880,0.01609820201899528
-870,0.01506779762260319
-860,0.013753658682277044
-850,0.011827250462935309
-840,0.00964697449375784
-830,0.007070963502777612
-820,0.005570157099336957
-810,0.004270951556059973
-800,0.00261334448360313
-790,0.0015306731975389763
-780,0.0013440057344244669
-770,8.138701391792605E-4
-760,6.570694701630727E-4
-750,5.749357863926886E-4
-740,3.509348306552775E-4
-730,2.762678454094737E-4
-720,1.344005734424467E-4
-710,1.4933397049160743E-4
-700,1.1946717639328595E-4
-690,4.4800191147482226E-5
-680,0.0
-670,7.466698524580372E-6
-660,2.9866794098321488E-5
